frag,B19-B19j,B5,B2,B1,C1/C3-C1c-C1b-C72k-C1w,C1/C1c/C3-C1al-C1b,C1/C3-C1b-C1c-C42.2-C72k,C3-C1-C3y-C6a,C3af-C3hq,C3-C3y-C6a,C1/C1c,C1-C1c-C1al-C72k,C1/C1c-C1b,C1-C1c-C1am-C1ao-C1an-C3cm-C72k,C1/C1c-C1al,C3/C1,C15,D1-D4-D1cl-D1ck-D4c-D1cm-D1c-D2,D1-D4-D4c-D1cl-D1az-D1c-D2,D1/D4-D4c-D1c,D1/D4/D4c,D1/D4/D4c-D2,E1c
O2F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0
O2F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3387,0,0,0,0,0
O3B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774,0,0,0,0,0
I3E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329,0,0,0,0,0
O4H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1866,0,0,0,0,0
I3D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2115,0,0,0,0,0
O3D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3107,0,0,0,0,0
I2H13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,0,0
O3A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512,0,0,0,0,0
O3C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3703,0,0,0,0,0
O2G4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,0,0,0,0,0
O4C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,0,0,0,0,0
O4G7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,0,0,0,0,0
O4E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0
O3F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,0,0,0,0,0
O3I3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,0,0,0,0,0
O4F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,0,0,0,0
O2G7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0
O4F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,0,0,0,0,0
O3C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,0,0
O4D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,0,0,0,0,0
O3I11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,0,0,0,0,0
O2G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,0,0,0,0,0
O4A17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,0,0,0,0
O4E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,0,0,0,0,0
I2H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0
O3A10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,0,0,0,0,0
O3C10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0
O4E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2775,0,0,0,0,0
O4H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,0,0,0,0,0
I3E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,0,0,0,0,0
O4E10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,0,0,0,0,0
O4A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0
O3D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0
O2H8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0
O3I13,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,0,0
O3F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10303,0,0,0,0
O3E10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15686,0,0,0,0
O2H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12978,0,0,0,0
O3F13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13108,0,0,0,0
O4F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7244,0,0,0,0
O4H11,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,7231,0,0,0,0
I2H12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11556,0,0,0,382
I3D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5138,0,0,0,0
O3F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,0,0,0,0
O3E2,0,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,10274,0,0,0,0
O4D4,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,13581,0,0,0,0
O4I3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,3136,0,0,0,0
I3E10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118,0,0,0,0
O4G9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3335,0,0,0,0
I3F2,322,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,10228,0,0,0,0
O4A4,0,0,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,10941,0,0,0,0
I3E8,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,7967,0,0,0,0
O4C3,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,6561,0,0,0,0
O4D1,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,25310,0,0,0,0
O4D12,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,3757,0,0,0,0
O2F2,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,3879,0,0,0,0
O3B4,188,0,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0,6734,0,0,0,0
O3D9,0,0,0,0,1145,0,0,0,38,0,0,0,0,0,0,0,0,0,8409,0,0,0,0
O3I8,0,0,0,0,0,1732,0,0,0,0,0,0,0,0,0,0,0,0,11095,0,0,0,0
O4A1,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,0,0,0,0,9465,0,0,0,0
O4D8,479,0,0,0,0,0,1654,0,0,0,0,0,0,0,0,0,0,0,8177,0,0,0,0
I3D8,279,0,0,0,0,0,0,0,106,0,85,0,0,0,0,0,0,0,2037,0,0,0,0
O2F8,0,0,0,0,0,2640,0,0,0,0,0,0,0,0,0,0,0,0,4512,0,0,0,0
O3B9,0,0,0,0,0,6795,0,0,0,0,0,0,0,0,0,0,0,0,11957,0,0,0,0
O2C7,0,0,0,0,3773,0,0,0,0,0,0,0,0,0,0,0,0,0,4934,0,0,0,0
I2E7,0,0,0,0,0,0,39443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3G1,0,0,0,0,0,0,22273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3G7,0,0,0,0,0,0,33202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3H2,0,0,0,0,0,0,17989,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0
I2E3,0,0,0,0,0,0,2691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3H3,268,0,0,0,0,0,14550,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0
O3H7,0,0,0,0,0,0,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3E3,0,0,0,0,0,0,3472,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0
O3G8,0,0,0,0,0,0,25673,0,0,0,0,0,0,0,0,0,0,0,2655,0,0,0,0
I3I3,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3F3,0,0,0,0,0,0,2190,0,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0
I3G3,0,0,0,0,0,0,2891,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0
O4C2,0,0,0,0,0,0,3872,0,0,0,0,0,0,0,0,0,0,1695,0,0,0,0,0
I4F4,0,0,0,0,0,0,0,26207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4B1,0,0,0,0,0,0,0,29357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4H4,0,0,0,0,0,0,0,18476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4G4,0,286,0,0,0,0,0,13554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4C4,0,0,0,0,0,0,0,4690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C1,0,0,0,0,0,0,0,9011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C3,0,0,0,0,0,0,0,5424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2D3,354,0,0,0,0,0,0,7289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4G2,0,0,0,0,0,0,0,1756,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0
O2E3,0,0,0,0,0,0,0,0,29840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2E8,0,0,0,0,0,0,0,0,6541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2E4,0,0,0,0,0,0,0,0,18233,0,2483,0,0,0,0,0,0,0,0,0,0,0,0
I4F2,0,0,0,0,0,0,0,0,0,16832,0,0,0,0,0,0,0,0,0,0,0,0,0
I2I10,0,0,0,0,0,0,0,0,0,6401,0,0,0,0,0,0,0,0,0,0,0,0,0
I4C2,0,0,0,0,0,0,0,0,0,4470,0,0,0,0,0,0,0,0,0,0,0,0,0
I4G9,0,217,0,0,0,0,0,0,0,5663,0,0,0,0,0,0,0,0,0,0,0,0,0
I4G3,0,572,0,0,0,0,0,0,0,10607,0,0,0,0,0,0,0,0,0,0,0,0,0
I2H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0
O4G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0
ITS-neg-new,0,0,0,0,0,0,0,0,39,0,172,0,0,0,0,0,0,0,0,0,0,0,0
Alexa2,0,0,65746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexa1,0,0,129033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA2,0,0,0,10429,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0
ME1,0,0,0,7004,416,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0
I2E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,12,0,0,0,0,0,0
I3H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
