"","A4z","A4","B19.B19j","B5.B5ay","B5a","C1.C3.C1c.C1b.C1w","C1.C1c.C1al.C1b.C42.2","C1.C1c.C1al.C1b","C1.C1c.C3.C1al","C1.C1c.C3.C72k","C1.C1c.C72k.C1b","C1.C1b.C1c.C42.2.C1bh.C1br.C1cb.C3","C3.C1.C3y.C6a","C1.C1c.C1b.C72k.C42.2","C3.C3y.C6a","C3af.C3hq","C1.C1c.C1am.C1ao.C1an.C1b.C3cm","C1.C3.C1c.C1b","C1.C1c","C1.C3.C1c","C1.C3.C42.2.C1c.C1b","C1.C3.C1c.C1b.C42.2.C1bh.C1br","C1.C1c.C1b.C42.2.C3.C1br","C1.C3cm.C1c.C1am.C1ao.C1an","C15","C1.C1b.C1am.C1c","C1.C3.C1c.C1b.C42.2.C1bh","C1.C1b.C1u.C3","D1.D4.D1cl.D1ck.D4c.D1cm.D1c","D1.D4.D1cl.D4c.D1az.D1c","D1.D4.D4c.D1c.D2.D1k","D1.D4.D4c.D1c.D2","D1.D4.D1cl.D4c.D1az","D1.D4.D4c.D1h.D1c","D1.D4.D4c.D1c","D1.D4.D17d.D4c.D1r.D17e.D17c.D17j","D1.D4.D4c.D1az.D1hc.D1c"
"O2D3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I3H5",0,0,0,0,0,0,0,0.754416961130742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245583038869258,0,0,0,0,0,0,0
"O3B1",0,0,0,0,0,0,0,0.682190179267342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317809820732658,0,0,0,0,0,0,0
"I3E3",0,0,0,0,0,0,0,0.619623655913978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380376344086022,0,0,0,0,0,0,0
"I2A1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4B3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4I1",0,0,0,0,0,0,0,0,0.959306305621054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406936943789458,0,0,0,0,0,0,0
"O4F3",0,0,0,0,0,0,0,0,0.739236393176279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260763606823721,0,0,0,0,0,0,0,0
"I2A3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4I7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4D9",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4H3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2C1",0,0,0,0,0,0,0,0,0,0.530703458997279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469296541002721,0,0,0,0,0,0,0
"I2G11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2B8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
