"logger","datetime","max","min","mean","range","date"
"Cristo.IR3.arr1","2015-11-01 23:45:00",32.7172222222222,29.9411111111111,31.2596059303351,2.77611111111111,2015-11-01
"Cayo.OR3.arr3","2015-11-08 23:45:00",31.586,29.615,30.6137926587302,1.971,2015-11-08
"Drago.OR4","2015-11-08 23:45:00",31.052,29.565,30.316128968254,1.487,2015-11-08
"Punta.IR1","2015-11-08 23:45:00",31.842,30.268,31.009369047619,1.574,2015-11-08
"STRI.IR2","2015-11-08 23:45:00",31.026,30.016,30.4993199404762,1.01,2015-11-08
"Cristo.IR3.arr1","2015-11-08 23:45:00",32.4072222222222,29.9661111111111,31.0912574404762,2.44111111111112,2015-11-08
"Cayo.OR3.arr3","2015-11-15 23:45:00",31.103,29.665,30.3781081349206,1.438,2015-11-15
"Drago.OR4","2015-11-15 23:45:00",30.697,29.414,30.0725183531746,1.283,2015-11-15
"Punta.IR1","2015-11-15 23:45:00",31.586,30.268,30.8949558531746,1.318,2015-11-15
"STRI.IR2","2015-11-15 23:45:00",31.026,29.89,30.4122301587302,1.136,2015-11-15
"Cristo.IR3.arr1","2015-11-15 23:45:00",31.7911111111111,29.9911111111111,30.8624867724868,1.8,2015-11-15
"Cayo.OR3.arr3","2015-11-22 23:45:00",31.128,29.065,30.0911488095238,2.063,2015-11-22
"Drago.OR4","2015-11-22 23:45:00",30.142,28.841,29.5610749007937,1.301,2015-11-22
"Punta.IR1","2015-11-22 23:45:00",30.874,29.815,30.3120987103175,1.059,2015-11-22
"STRI.IR2","2015-11-22 23:45:00",30.571,29.74,30.1191006944444,0.831000000000003,2015-11-22
"Cristo.IR3.arr1","2015-11-22 23:45:00",32.0727777777778,29.515,30.7471844686949,2.55777777777778,2015-11-22
"Cayo.OR3.arr3","2015-11-29 23:45:00",29.765,28.245,28.9900014880952,1.52,2015-11-29
"Drago.OR4","2015-11-29 23:45:00",29.515,27.481,28.5973030753968,2.034,2015-11-29
"Punta.IR1","2015-11-29 23:45:00",29.966,28.766,29.3895758928571,1.2,2015-11-29
