"frag","gen_site","treat","sitename","lineage","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","sym_cm2","avgtiss","chlA","corallite.avg.poly.mm2"
"I3I6","I3I","Initial","CI","L1",0.343211334823133,0.241321818536288,0.148936165716997,1938017.09559669,5.58333333333333,7.21025884827062,9.61327869864594
"I4A6","I4A","Initial","PD","L1",0.227173293258032,0.0908008359677607,0.0600707960948606,613755.624671636,3.91666666666667,3.76908018723913,8.52868801824
"I4B6","I4B","Initial","PD","L2",0.231584647576236,0.144222687176463,0.0822056197100139,939140.608602352,3.43333333333333,4.38892579455403,13.1541613656811
"I4C12","I4C","Initial","PD","L2",0.193320248553374,0.0841054197095497,0.0658398108646832,1337824.01521738,5.78333333333333,5.78539773000591,15.68289175532
"I4E8","I4E","Initial","PD","L2",0.213602010067894,0.0315073425857083,0.0698072278854159,1209561.60531915,5,2.13919285636729,14.8841611567983
"I4F6","I4F","Initial","PD","L2",0.232703545564626,0.0996383503223926,0.0496723177978173,1265364.53148185,3.68333333333333,5.29618416477893,14.5588750098372
"I4H12","I4H","Initial","PD","L2",0.18799384358838,0.0847464222332819,0.0590617361500653,330896.423390988,5.18333333333333,6.06786422819512,14.9780372460691
"I4I6","I4I","Initial","PD","L2",0.087678240217764,0.0537096478746933,0.0639399786827653,356569.719766411,2.75,1.77884269210382,9.25112569363837
"O2A6","O2A","Initial","BS","L1",0.137886090508159,0.0848001123969063,0.0844010873768212,1931483.9049405,5.51666666666667,6.82853848238964,9.21853383430226
"O2B13","O2B","Initial","BS","L1",0.225966184901853,0.133632872591913,0.230979633264391,1450421.47182513,5.1,11.0828676371049,11.3059932277595
"O2C6","O2C","Initial","BS","L1",0.0961849957393601,0.0344657161746222,0.122306064377695,757044.83884706,5.31666666666667,2.78493932441533,10.2377559030685
"O2D6","O2D","Initial","BS","L1",0.120693366163163,0.0764596196076898,0.113526865133161,1465215.41862501,6.95,6.83940509254008,9.04539613864446
"O2E6","O2E","Initial","BS","L1",0.14692546369479,0.0797945779537406,0.0712954970822201,793418.601987388,5.35,3.71768014757916,9.66825165244057
"O2F6","O2F","Initial","BS","L1",0.447871521469326,0.0886668737022086,0.07631541568471,1118412.56071491,6.56666666666667,4.88033483261644,9.57340068504999
"O2G6","O2G","Initial","BS","L2",0.290701181155223,0.0766137668510983,0.102949468414546,438294.612926099,4.95,2.20339224313201,13.5380955259454
"O2H6","O2H","Initial","BS","L1",0.368075280435287,0.117544240762453,0.042821900723818,1743902.21151066,5.53333333333333,5.72021165210124,8.06639504794051
"O2I6","O2I","Initial","BS","L1",0.320315628742331,0.0776111352847084,0.185116913796238,1363706.37114862,5.66666666666667,5.50248353944607,7.24719965500877
"O3A6","O3A","Initial","CA",NA,0.372815589718952,0.202217330557791,0.355453393432665,1201130.50597799,5.25,8.77503388197191,7.21246732046431
"O3B6","O3B","Initial","CA","L1",0.397383942238319,0.160142997675199,0.256172481447431,2495404.81914227,5.7,12.2728976842399,7.98373655125355
"O3C6","O3C","Initial","CA","L1",0.218595939058664,0.0483377964958049,0.078571957392084,957301.653912394,3.45,3.06954432827152,8.36508860227167
"O3D8","O3D","Initial","CA","L1",0.470047132024559,0.145717087193659,0.101461715751925,2461176.96090517,5.68333333333333,15.7015773389195,8.36436772895965
"O3E6","O3E","Initial","CA","L1",0.369376629366943,0.241980492712885,0.307256776845767,1355841.02450316,4.98333333333333,15.3870938835102,9.08063395947079
"O3F6","O3F","Initial","CA","L1",0.174703203376869,0.0561878706516418,0.0618987432937159,893245.146168504,4.11666666666667,4.2370089365234,8.53288279174062
"O3G6","O3G","Initial","CA","L1",0.310215657995316,0.127139871326871,0.285236746830715,2581441.7197521,5.75,14.3874909969769,7.47785961888058
"O3H6","O3H","Initial","CA","L1",0.260247124752176,0.0731953077073674,0.220275788862626,2036852.25753531,4.61666666666667,11.2211673084052,7.97117218050783
"O3I6","O3I","Initial","CA","L1",0.302687953841891,0.13618728352689,0.195584939055067,890918.000901865,4.7,14.1787061206217,8.07546479797355
"O4A6","O4A","Initial","BN","L1",0.292306855197663,0.157421616376364,0.348549824398658,1350745.00927553,6.13333333333333,10.2803861722658,6.80795958274774
"O4C10","O4C","Initial","BN","L1",0.281867771347907,0.0885494505627553,0.190944451428038,1615211.96319576,5.11666666666667,8.39085409919699,9.79083222073876
"O4D6","O4D","Initial","BN","L1",0.33930205368444,0.172157155137421,0.295024524753252,1873812.04993011,4.9,8.26986832846177,8.04313733455487
"O4E6","O4E","Initial","BN","L1",0.262354740926434,0.188515677324722,0.125878146229346,1420097.51122644,6.33333333333333,6.38640860230011,7.4150322809873
"O4F6","O4F","Initial","BN","L1",0.246188568371286,0.106641008980675,0.118914169619124,1734775.23777165,5.05,0.0773810683104679,8.83573852294332
"O4G6","O4G","Initial","BN","L1",0.250895800958491,0.113177247933792,0.21487356853663,3120965.92779451,4.98333333333333,13.4881822196037,9.94414362974469
"O4H12","O4H","Initial","BN","L1",0.358904208034988,0.123370649498995,0.0961258421112787,4038705.10885492,5.41666666666667,15.0046894350522,11.4940517179065
"O4I6","O4I","Initial","BN",NA,0.131765836195673,0.0779544131677659,0.0346004344412954,769608.736999093,5.28333333333333,7.38697848077197,9.69676207243842
"I3B7","I3B","Initial","CI",NA,NA,NA,NA,NA,NA,NA,5.48228785580441
"I3D9","I3D","Initial","CI","L2",NA,NA,NA,NA,NA,NA,13.8122929558646
"O2B6","O2B","Initial","BS","L1",NA,NA,NA,NA,NA,NA,14.6414881512547
