"Year","param","SST"
1972,"Annual Mean SST",28.1728205680847
1972,"Annual Summer Mean",28.4464173316956
1973,"Annual Mean SST",27.950674533844
1973,"Annual Summer Mean",27.7239694595337
1974,"Annual Mean SST",27.5551555951436
1974,"Annual Summer Mean",27.7019047737122
1975,"Annual Mean SST",27.5735665957133
1975,"Annual Summer Mean",27.6520805358887
1976,"Annual Mean SST",27.7870121002197
1976,"Annual Summer Mean",28.2801856994629
1977,"Annual Mean SST",28.0182013511658
1977,"Annual Summer Mean",28.1411185264587
1978,"Annual Mean SST",27.9515593846639
1978,"Annual Summer Mean",27.9625759124756
1979,"Annual Mean SST",28.1640569368998
1979,"Annual Summer Mean",28.2995314598083
1980,"Annual Mean SST",28.177072207133
1980,"Annual Summer Mean",28.2805371284485
1981,"Annual Mean SST",27.9731111526489
1981,"Annual Summer Mean",28.1183037757874
1982,"Annual Mean SST",28.2224734624227
1982,"Annual Summer Mean",28.4829888343811
1983,"Annual Mean SST",28.6809237798055
1983,"Annual Summer Mean",28.6867876052856
1984,"Annual Mean SST",27.999516805013
1984,"Annual Summer Mean",27.8736124038696
1985,"Annual Mean SST",27.637978553772
1985,"Annual Summer Mean",27.9200119972229
1986,"Annual Mean SST",27.7985704739888
1986,"Annual Summer Mean",28.0869822502136
1987,"Annual Mean SST",28.5183219909668
1987,"Annual Summer Mean",28.8565707206726
1988,"Annual Mean SST",28.149219195048
1988,"Annual Summer Mean",28.1107487678528
1989,"Annual Mean SST",27.8550318082174
1989,"Annual Summer Mean",28.1484231948853
1990,"Annual Mean SST",28.1758942604065
1990,"Annual Summer Mean",28.2958674430847
1991,"Annual Mean SST",28.1772565841675
1991,"Annual Summer Mean",28.2728514671326
1992,"Annual Mean SST",28.2027707099915
1992,"Annual Summer Mean",28.2886962890625
1993,"Annual Mean SST",28.2998092969259
1993,"Annual Summer Mean",28.3385329246521
1994,"Annual Mean SST",28.1306408246358
1994,"Annual Summer Mean",28.2338948249817
1995,"Annual Mean SST",28.3773051897685
1995,"Annual Summer Mean",28.570050239563
1996,"Annual Mean SST",28.1742335955302
1996,"Annual Summer Mean",28.3044095039368
1997,"Annual Mean SST",28.629808584849
1997,"Annual Summer Mean",29.1052856445312
1998,"Annual Mean SST",28.7218569119771
1998,"Annual Summer Mean",28.77321434021
1999,"Annual Mean SST",28.09894323349
1999,"Annual Summer Mean",28.3122901916504
2000,"Annual Mean SST",28.0543313026428
2000,"Annual Summer Mean",28.3562450408936
2001,"Annual Mean SST",28.1966532071431
2001,"Annual Summer Mean",28.4412913322449
2002,"Annual Mean SST",28.3262079556783
2002,"Annual Summer Mean",28.5765042304993
2003,"Annual Mean SST",28.5145894686381
2003,"Annual Summer Mean",28.7124633789062
2004,"Annual Mean SST",28.4481557210286
2004,"Annual Summer Mean",28.7314863204956
2005,"Annual Mean SST",28.5424853960673
2005,"Annual Summer Mean",28.5470914840698
2006,"Annual Mean SST",28.3804496129354
2006,"Annual Summer Mean",28.8273572921753
2007,"Annual Mean SST",28.2927303314209
2007,"Annual Summer Mean",28.3898301124573
2008,"Annual Mean SST",28.2564808527629
2008,"Annual Summer Mean",28.6867723464966
2009,"Annual Mean SST",28.3096570968628
2009,"Annual Summer Mean",28.7463521957397
2010,"Annual Mean SST",28.5815105438232
2010,"Annual Summer Mean",28.5248470306396
2011,"Annual Mean SST",28.2741430600484
2011,"Annual Summer Mean",28.5925326347351
2012,"Annual Mean SST",28.3450489044189
2012,"Annual Summer Mean",28.712504863739
2013,"Annual Mean SST",28.4163379669189
2013,"Annual Summer Mean",28.6386570930481
2014,"Annual Mean SST",28.5739512443542
2014,"Annual Summer Mean",28.7585544586182
2015,"Annual Mean SST",28.944133122762
2015,"Annual Summer Mean",29.5764660835266
2016,"Annual Mean SST",28.8371248245239
2016,"Annual Summer Mean",28.894332408905
2017,"Annual Mean SST",28.6553344726562
2017,"Annual Summer Mean",28.9799246788025
2018,"Annual Mean SST",28.5109763145447
2018,"Annual Summer Mean",28.7090682983398
2019,"Annual Mean SST",28.6533880233765
2019,"Annual Summer Mean",29.0237979888916
2020,"Annual Mean SST",28.6412992477417
2020,"Annual Summer Mean",28.7241258621216
2021,"Annual Mean SST",28.4236726760864
2021,"Annual Summer Mean",28.6115760803223
2022,"Annual Mean SST",28.4379278818766
2022,"Annual Summer Mean",28.6711354255676
2023,"Annual Mean SST",29.1644531596791
2023,"Annual Summer Mean",29.8220829963684
