"frag","treat","sitename","lineage","area_cor_cm2","den_cor_cm2","diam_cal_cm","dist_cor_cm","s_length_cm","s_thick_cm","t_thick_cm","lef"
"I4F6","Initial","PD","L2",-1.89711998488588,2.484906649788,-1.10866262452161,-1.02165124753198,-1.77195684193188,-3.91202300542815,-3.91202300542815,0.906240396020654
"I4H12","Initial","PD","L2",-1.89711998488588,2.83321334405622,-1.07880966137193,-1.07880966137193,-2.04022082852655,-4.60517018598809,-3.91202300542815,0.815992572839095
"I4I6","Initial","PD","L2",-2.40794560865187,2.70805020110221,-1.07880966137193,-1.07880966137193,-2.04022082852655,-4.60517018598809,-3.91202300542815,0.282965365507999
"O2A6","Initial","BS","L1",-2.40794560865187,2.83321334405622,-1.27296567581289,-1.17118298150295,-2.12026353620009,-3.91202300542815,-2.99573227355399,0.0717192128386113
"O2B13","Initial","BS","L1",-2.20727491318972,2.77258872223978,-1.27296567581289,-1.17118298150295,-2.04022082852655,-4.60517018598809,-2.81341071676004,0.0726911975738478
"O2C6","Initial","BS","L1",-2.30258509299405,2.39789527279837,-1.27296567581289,-1.13943428318836,-2.30258509299405,-4.60517018598809,-4.60517018598809,0.134432202773205
"O2D6","Initial","BS","L1",-2.40794560865187,2.56494935746154,-1.30933331998376,-1.23787435600162,-2.20727491318972,-4.60517018598809,-3.91202300542815,0.235072122179483
"O2E6","Initial","BS","L1",-2.30258509299405,2.70805020110221,-1.23787435600162,-1.17118298150295,-2.12026353620009,-4.60517018598809,-3.91202300542815,0.416498035580369
"O2F6","Initial","BS","L1",-2.30258509299405,2.70805020110221,-1.23787435600162,-1.17118298150295,-2.20727491318972,-4.60517018598809,-3.91202300542815,0.366264474859947
"O2G6","Initial","BS","L2",-1.96611285637283,2.70805020110221,-1.04982212449868,-0.994252273343867,-1.89711998488588,-4.60517018598809,-3.91202300542815,0.952557993649743
"O2I6","Initial","BS","L1",-2.65926003693278,2.94443897916644,-1.38629436111989,-1.27296567581289,-2.30258509299405,-4.60517018598809,-3.91202300542815,0.322345312719042
"O3B6","Initial","CA","L1",-2.52572864430826,2.77258872223978,-1.30933331998376,-1.27296567581289,-2.20727491318972,-4.60517018598809,-3.50655789731998,0.214292737362731
"O3C6","Initial","CA","L1",-2.52572864430826,3.04452243772342,-1.27296567581289,-1.27296567581289,-2.04022082852655,-4.60517018598809,-3.91202300542815,0.531748967530681
"O3D8","Initial","CA","L1",-2.52572864430826,2.56494935746154,-1.46967597005894,-1.34707364796661,-2.20727491318972,-4.60517018598809,-3.91202300542815,0.558421757650615
"O3E6","Initial","CA","L1",-2.40794560865187,2.70805020110221,-1.38629436111989,-1.20397280432594,-2.30258509299405,-4.60517018598809,-3.91202300542815,0.152994347532686
"O3F6","Initial","CA","L1",-2.40794560865187,2.63905732961526,-1.34707364796661,-1.20397280432594,-2.30258509299405,-4.60517018598809,-3.91202300542815,0.450880942450113
"O3G6","Initial","CA","L1",-2.65926003693278,2.83321334405622,-1.42711635564015,-1.23787435600162,-2.40794560865187,-4.60517018598809,-4.60517018598809,0.106663738993278
"O3H6","Initial","CA","L1",-2.52572864430826,2.19722457733622,-1.20397280432594,-1.10866262452161,-2.12026353620009,-4.60517018598809,-3.50655789731998,0.321036759499255
"O3I6","Initial","CA","L1",-2.52572864430826,2.70805020110221,-1.34707364796661,-1.20397280432594,-2.12026353620009,-4.60517018598809,-3.91202300542815,0.157224995273032
"O4A6","Initial","BN","L1",-2.65926003693278,2.99573227355399,-1.30933331998376,-1.17118298150295,-2.40794560865187,-4.60517018598809,-3.2188758248682,0.596315869271511
"O4C10","Initial","BN","L1",-2.30258509299405,2.77258872223978,-1.04982212449868,-1.07880966137193,-2.12026353620009,-4.60517018598809,-3.50655789731998,0.606072268461094
"O4D6","Initial","BN","L1",-2.52572864430826,2.99573227355399,-1.38629436111989,-1.23787435600162,-2.12026353620009,-4.60517018598809,-3.91202300542815,0.242542164458642
"O4E6","Initial","BN","L1",-2.65926003693278,3.04452243772342,-1.38629436111989,-1.27296567581289,-2.30258509299405,-4.60517018598809,-3.91202300542815,0.130083279208287
"O4F6","Initial","BN","L1",-2.40794560865187,2.83321334405622,-1.27296567581289,-1.13943428318836,-2.12026353620009,-4.60517018598809,-3.91202300542815,0.431549272366457
"O4G6","Initial","BN","L1",-2.30258509299405,2.83321334405622,-1.13943428318836,-0.967584026261706,-1.96611285637283,-3.50655789731998,-3.91202300542815,0.153736283119659
"O4H12","Initial","BN","L1",-2.20727491318972,2.39789527279837,-1.04982212449868,-0.941608539858445,-1.83258146374831,-4.60517018598809,-3.91202300542815,0.0198026272961797
