frag,survivedtoend,endtank,treat,normtankpa,pabwrec1,pabwrec2,pabwrec3,normtankt0,t0bwrec1,t0bwrec2,t0bwrec3,normtankt1,t1bwrec1,t1bwrec2,t1bwrec3,normtankt2,t2bwrec1,t2bwrec2,t2bwrec3,normtankt3,t3bwrec1,t3bwrec2,t3bwrec3,pasastan1,pasastan2,pasastan3,pasarec1,pasarec2,pasarec3,t0sastan1,t0sastan2,t0sastan3,t0sarec1,t0sarec2,t0sarec3,t1sastan1,t1sastan2,t1sastan3,t1sarec1,t1sarec2,t1sarec3,t2sastan1,t2sastan2,t2sastan3,t2sarec1,t2sarec2,t2sarec3,t3sastan1,t3sastan2,t3sastan3,t3sarec1,t3sarec2,t3sarec3,blastvol,blaster,hprotplate,hprot1,hprot2,hprot3,hcarbplate,hcarb1,hcarb2,hcarb3,scarbplate,scarb1,scarb2,scarb3,chl630_1,chl630_2,chl630_3,chl663_1,chl663_2,chl663_3,symcount1,symcount2,symcount3,symmit1,symmit2,symmit3,papamrec1,papamrec2,papamrec3,t0pamrec1,t0pamrec2,t0pamrec3,t1pamrec1,t1pamrec2,t1pamrec3,t2pamrec1,t2pamrec2,t2pamrec3,t3pamrec1,t3pamrec2,t3pamrec3,t4pamrec1,t4pamrec2,t4pamrec3,t5pamrec1,t5pamrec2,t5pamrec3,t6pamrec1,t6pamrec2,t6pamrec3,t7pamrec1,t7pamrec2,t7pamrec3,t8pamrec1,t8pamrec2,t8pamrec3,t9pamrec1,t9pamrec2,t9pamrec3
I4B2,no,2_1,2,2_1,19.18,19.181,19.184,2_1,19.192,19.192,19.191,2_1,19.278,19.3,19.295,2_1,19.314,19.31,19.31,NA,NA,NA,NA,291558,293182,292622,1267514,1262487,1259628,299018,299238,298048,1293080,1295898,1297836,308189,307877,307256,1311149,1306874,1321385,304753,304498,303977,1298656,1300111,1304854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.574,0.584,0.603,0.538,0.505,0.5,0.505,0.64,0.545,0.57,0.55,0.595,0.542,0.555,0.556,0.437,0.371,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4C2,yes,2_1,2,2_1,22.948,22.949,22.951,2_1,22.915,22.916,22.914,2_1,22.894,22.895,22.897,2_1,22.994,22.998,22.998,2_1,23.334,23.342,23.343,297791,299967,299409,1442751,1441458,1443452,298323,300653,297594,1476241,1463227,1464549,308179,309553,309347,1473177,1463484,1484459,307847,305660,311168,1468451,1468793,1462893,319241,320773,319979,1530201,1532335,1528927,15,Lauren,O4,0.1,0.093,0.131,O4,0.265,0.277,0.625,NA,NA,NA,NA,0.066,0.069,0.068,0.12,0.126,0.126,39,45,46,0,0,1,0.611,0.618,0.61,0.595,0.556,0.579,0.534,0.538,0.547,0.536,0.552,0.533,0.516,0.55,0.553,0.464,0.504,0.49,0.46,0.469,0.454,0.399,0.437,0.448,0.485,0.484,0.476,0.511,0.508,0.529,0.562,0.559,0.589
O2B2,yes,2_1,2,2_1,22.727,22.729,22.729,2_1,22.735,22.734,22.734,2_1,22.814,22.813,22.812,2_1,22.838,22.837,22.832,2_1,22.923,22.922,22.921,299716,298314,301066,1639424,1640065,1642018,296586,299686,298184,1660139,1659334,1655062,312131,311253,311451,1708291,1698278,1719082,295499,295210,294670,1677885,1676958,1677876,320906,324220,323033,1369473,1359985,1354771,15,Darren,O1,0.155,0.149,0.164,O4,0.26,0.329,0.355,NA,NA,NA,NA,0.032,0.049,0.049,0.117,0.158,0.156,30,17,20,0,0,0,0.56,0.558,0.56,0.517,0.57,0.658,0.56,0.584,0.535,0.565,0.596,0.585,0.59,0.584,0.585,0.497,0.492,0.534,0.505,0.515,0.528,0.544,0.539,0.528,0.332,0.358,0.359,0.504,0.471,0.432,0.34,0.376,0.366
O2C2,no,2_1,2,2_1,22.442,22.441,22.444,2_1,22.527,22.526,22.523,2_1,22.779,22.778,22.779,NA,NA,NA,NA,NA,NA,NA,NA,294788,298616,294012,1379389,1376028,1375470,297653,297544,299292,1429855,1425100,1423526,306172,307819,310932,1451175,1441344,1467843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564,0.588,0.595,0.534,0.548,0.558,0.508,0.496,0.545,0.499,0.491,0.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O3A2,yes,2_1,2,2_1,17.198,17.198,17.196,2_1,17.221,17.226,17.223,2_1,17.365,17.362,17.363,2_1,17.641,17.641,17.641,2_1,18.287,18.298,18.285,294805,298058,299972,1308746,1312558,1310015,298292,298207,298907,1308218,1309155,1309720,310062,310873,310384,1388683,1398752,1375428,306775,306780,306172,1428943,1427896,1425885,321853,321881,320570,418331,407999,411616,14,Lauren,D4,0.121,0.115,0.122,O4,0.195,0.311,0.268,NA,NA,NA,NA,0.055,0.06,0.061,0.084,0.092,0.093,37,22,23,0,0,1,0.584,0.6,0.594,0.496,0.459,0.477,0.525,0.517,0.504,0.509,0.509,0.525,0.505,0.51,0.484,0.488,0.468,0.482,0.518,0.535,0.504,0.484,0.471,0.499,0.501,0.475,0.545,0.475,0.497,0.468,0.499,0.484,0.456
O3B2,yes,2_1,2,2_1,21.047,21.049,21.048,2_1,21.189,21.19,21.186,2_1,21.446,21.447,21.445,2_1,21.713,21.712,21.71,2_1,21.954,21.953,21.954,296670,293120,297960,1433360,1431050,1431606,300542,300331,299008,1496803,1496617,1492729,307308,308450,310400,1490671,1487629,1503781,305816,304664,305965,1317768,1317723,1319989,317526,321213,323750,1192916,1205801,1206487,10,Lauren,D4,0.178,0.196,0.207,O4,0.522,0.561,0.484,NA,NA,NA,NA,0.085,0.092,0.094,0.153,0.168,0.166,72,51,86,0,0,2,0.624,0.634,0.627,0.626,0.613,0.554,0.587,0.524,0.542,0.565,0.559,0.569,0.586,0.539,0.551,0.536,0.533,0.513,0.531,0.521,0.551,0.534,0.54,0.505,0.563,0.51,0.521,0.532,0.513,0.574,0.573,0.596,0.577
O3C2,no,2_1,2,2_1,17.685,17.682,17.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294265,295063,294529,1358232,1355868,1352328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,0.653,0.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O3C8,no,2_1,2,NA,NA,NA,NA,2_1,21.962,21.963,21.963,2_1,22.049,22.038,22.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298462,297671,296822,1143441,1148020,1155932,311161,311486,311194,1262368,1258102,1281239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562,0.543,0.567,0.629,0.529,0.593,0.574,0.582,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O4A2,,2_1,2,2_1,21.603,21.604,21.606,2_1,21.753,21.747,21.746,2_1,21.913,21.918,21.914,2_1,22.163,22.159,22.162,2_1,22.26,22.258,22.26,294762,289604,294239,1377878,1382095,1371527,299078,298628,299389,1442053,1438696,1442661,308974,308993,309855,1499723,1483791,1501389,293630,294694,296296,1495279,1485599,1492049,319309,322298,320835,1445902,1474752,1470037,NA,NA,O1,0.186,0.15,0.252,O4,0.449,0.485,0.409,NA,NA,NA,NA,0.018,0.023,0.028,0.078,0.089,0.096,NA,NA,NA,NA,NA,NA,0.618,0.622,0.634,0.538,0.514,0.522,0.518,0.509,0.513,0.507,0.502,0.534,0.538,0.528,0.526,0.523,0.528,0.541,0.528,0.511,0.524,0.524,0.515,0.508,0.478,0.475,0.473,0.651,0.596,0.603,0.422,0.46,0.482
O4B8,no,2_1,2,2_1,18.933,18.934,18.934,2_1,18.977,18.98,18.978,2_1,19.21,19.206,19.206,NA,NA,NA,NA,NA,NA,NA,NA,296962,296188,298837,1255664,1260371,1256367,300220,297947,297247,1300934,1296249,1297358,310930,311757,311786,1323387,1317859,1338430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593,0.611,0.604,0.577,0.589,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O4C2,yes,2_1,2,2_1,26.318,26.317,26.316,2_1,26.476,26.471,26.473,2_1,26.587,26.588,26.584,2_1,26.827,26.83,26.823,2_1,27.349,27.352,27.348,291529,293975,295356,1498902,1499657,1498451,299512,298112,298445,1546134,1543089,1546035,307277,309541,309553,1561268,1553799,1576863,305370,305096,305369,1557553,1559454,1558493,321508,320925,321182,1091080,114605,1084305,11,Olivia,O1,0.215,0.214,0.211,O4,0.738,0.725,0.602,NA,NA,NA,NA,0.091,0.088,0.087,0.19,0.191,0.188,80,103,114,0,0,0,0.638,0.639,0.631,0.579,0.554,0.547,0.558,0.514,0.56,0.559,0.544,0.52,0.576,0.588,0.574,0.585,0.612,0.592,0.54,0.564,0.535,0.535,0.52,0.498,0.527,0.483,0.498,0.478,0.552,0.563,0.449,0.482,0.505
I2D2,notis,2_2,2,2_2,25.753,25.755,25.754,2_2,25.848,25.849,25.848,2_2,26.133,26.135,26.137,2_2,26.396,26.391,26.394,2_2,26.74,26.741,26.739,293437,292072,292859,1292989,1290396,1290240,301803,301983,301432,1394712,1392268,1390530,310259,309668,309671,1379722,1363982,1389953,NA,NA,NA,NA,NA,NA,319972,319175,320644,389528,394173,390813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619,0.632,0.629,0.548,0.537,0.495,0.392,0.395,0.432,0.472,0.475,0.486,0.491,0.461,0.481,0.443,0.493,0.479,0.54,0.546,0.592,0.544,0.548,0.559,0.325,0.333,0.385,0.438,0.475,0.498,0.436,0.447,0.411
I2E2,yes,2_2,2,2_2,21.416,21.41,21.409,2_2,21.487,21.487,21.486,2_2,21.7,21.701,21.7,2_2,21.927,21.927,21.929,2_2,22.274,22.273,22.277,292301,291532,292582,1181189,1180061,1178247,298482,300535,303027,1215061,1212754,1211205,309374,310217,311324,1225581,1213890,1238643,294706,295975,295242,1210329,1215844,1209622,319958,321991,322584,1265352,1271989,1269608,24,Darren,D4,0.109,0.112,0.1,O4,0.196,0.171,0.866,NA,NA,NA,NA,0.086,0.091,0.096,0.18,0.195,0.197,45,41,16,0,0,0,0.607,0.614,0.603,0.581,0.571,0.596,0.566,0.553,0.535,0.582,0.579,0.584,0.58,0.597,0.604,0.487,0.505,0.494,0.53,0.508,0.525,0.521,0.517,0.51,0.574,0.5,0.471,0.499,0.424,0.432,0.519,0.51,0.53
I2F2,yes,2_2,2,2_2,20.664,20.663,20.666,2_2,20.726,20.726,20.733,2_2,20.843,20.844,20.842,2_2,20.916,20.909,20.913,2_2,21.13,21.13,21.132,295570,293440,294216,1061760,1058584,1064155,299120,300232,302493,1060688,1073619,1071032,309115,309389,309943,1078990,1068928,1083489,294437,293323,295741,1139768,1135081,1136053,324277,322048,324352,1081797,1055082,1090160,15,Olivia,D7,0.011,0.025,0.017,O4,0.097,0.066,0.205,NA,NA,NA,NA,0.041,0.041,0.039,0.043,0.044,0.042,1,2,4,0,0,0,0.575,0.615,0.609,0.5,0.536,0.514,0.483,0.491,0.426,0.514,0.527,0.52,0.509,0.498,0.486,0.388,0.34,0.33,0.348,0.387,0.368,0.261,0.244,0.259,0.278,0.305,0.38,0.324,0.322,0.373,0.306,0.26,0.257
I3D2,yes,2_2,2,2_2,27.204,27.213,27.208,2_2,27.276,27.272,27.271,2_2,27.405,27.404,27.402,2_2,27.51,27.507,27.511,2_2,27.796,27.798,27.8,293410,293410,294987,1633688,1636775,1641696,300641,298910,300312,1745298,1743952,1739554,309903,309346,308798,1753944,1747933,1762499,299347,298225,297901,1698368,1692190,1694637,316800,313733,313829,1751944,1749321,1742508,15,Lauren,O1,0.267,0.279,0.275,O4,0.394,0.275,0.238,NA,NA,NA,NA,0.083,0.083,0.083,0.188,0.188,0.188,54,57,63,0,0,0,0.617,0.622,0.622,0.588,0.541,0.509,0.431,0.47,0.444,0.375,0.372,0.416,0.474,0.448,0.434,0.449,0.461,0.499,0.448,0.467,0.453,0.358,0.373,0.375,0.396,0.384,0.365,0.38,0.358,0.364,0.356,0.328,0.346
I3E10,yes,2_2,2,NA,NA,NA,NA,2_2,21.071,21.067,21.068,2_2,21.266,21.268,21.267,2_2,21.405,21.404,21.404,2_2,21.621,21.622,21.621,NA,NA,NA,NA,NA,NA,301725,304323,303614,1448894,1449162,1449670,311560,311301,311322,1457262,1458500,1455296,305836,304518,305030,805676,804121,803099,321759,323195,321404,350587,334447,340697,14,Lauren,D4,0.176,0.188,0.173,O4,0.281,0.238,0.137,NA,NA,NA,NA,0.112,0.075,0.079,0.137,0.144,0.147,20,19,23,0,0,0,NA,NA,NA,NA,NA,NA,0.576,0.583,0.578,0.561,0.579,0.579,0.561,0.563,0.551,0.557,0.585,0.563,0.581,0.61,0.616,0.486,0.495,0.494,0.527,0.529,0.524,0.417,0.465,0.429,0.372,0.383,0.386
I3E2,yes,2_2,2,2_2,21.396,21.393,21.397,2_2,21.452,21.452,21.451,2_2,21.596,21.599,21.594,NA,NA,NA,NA,2_2,22.296,22.297,22.296,296150,294768,295324,1333439,1328744,1325298,302232,303288,305740,1388300,1392175,1395383,308254,307131,306866,1413031,1402953,1423901,304456,305293,308128,1380268,1391057,1384338,319732,319789,320385,1425683,1436772,1430292,17,Olivia,D6,0.03,0.061,0.039,O4,0.191,0.121,0.1,NA,NA,NA,NA,0.057,0.061,0.06,0.059,0.063,0.063,2,6,20,0,0,1,0.631,0.63,0.632,0.587,0.568,0.573,0.49,0.459,0.485,0.56,0.554,0.555,0.546,0.556,0.535,0.54,0.533,0.506,0.521,0.534,0.51,0.529,0.524,0.532,0.529,0.541,0.535,0.531,0.589,0.546,0.534,0.481,0.526
I3F2,yes,2_2,2,2_2,21.299,21.303,21.3,2_2,21.528,21.529,21.528,2_2,21.936,21.939,21.937,2_2,22.358,22.358,22.357,2_2,23.08,23.081,23.081,295044,299420,293151,1503159,1503807,1504200,303590,304916,304425,1564911,1564221,1564828,308306,307722,309686,1615009,1603894,1628492,298809,300990,298801,1575966,1578336,1576306,322559,321432,322633,1543246,1551204,1545529,11,Lauren,D7,0.206,0.216,0.198,O4,0.556,0.364,0.239,NA,NA,NA,NA,0.054,0.058,0.058,0.085,0.093,0.093,60,83,58,0,0,0,0.594,0.617,0.622,0.509,0.514,0.528,0.465,0.426,0.48,0.56,0.551,0.543,0.538,0.531,0.529,0.486,0.449,0.552,0.544,0.535,0.526,0.537,0.548,0.534,0.569,0.511,0.51,0.59,0.543,0.541,0.532,0.342,0.543
I4D2,no,2_2,2,2_2,23.596,23.595,23.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299156,299172,293685,1389718,1391991,1395427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601,0.613,0.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4F2,yes,2_2,2,2_2,18.981,18.984,18.981,2_2,18.97,18.971,18.97,2_2,19.053,19.053,19.051,2_2,19.15,19.153,19.151,2_2,19.467,19.467,19.466,291586,298016,288244,1167842,1170808,1172019,299091,298125,299395,1197745,1196026,1193692,307155,306350,310197,1200118,1213793,1194668,295547,297955,295219,1180893,1180423,1180985,321350,324804,325274,1247888,1233329,1233556,10,Olivia,O1,0.117,0.115,0.116,O4,0.337,0.268,0.241,NA,NA,NA,NA,0.057,0.061,0.06,0.092,0.1,0.098,18,45,35,0,0,0,0.6,0.605,0.579,0.495,0.49,0.556,0.535,0.544,0.548,0.604,0.567,0.595,0.576,0.586,0.542,0.515,0.53,0.533,0.396,0.4,0.4,0.415,0.408,0.444,0.491,0.44,0.463,0.498,0.5,0.515,0.524,0.542,0.535
O2D2,no,2_2,2,2_2,16.008,16.013,16.009,2_2,16.044,16.036,16.036,2_2,16.098,16.096,16.098,2_2,16.216,16.219,16.217,NA,NA,NA,NA,290701,287498,289878,1313463,1307916,1311039,300526,302658,305490,1376503,1378123,1381794,308533,308286,309945,1347924,1334892,1359873,299640,298262,297964,1381663,1379829,1376442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654,0.652,0.633,0.59,0.611,0.636,0.624,0.637,0.646,0.566,0.582,0.585,0.595,0.614,0.575,0.59,0.596,0.587,0.58,0.603,0.593,0.581,0.589,0.562,0.617,0.63,0.609,NA,NA,NA,NA,NA,NA
O2E2,yes,2_2,2,2_2,22.168,22.168,22.17,2_2,22.18,22.172,22.17,2_2,22.294,22.295,22.296,2_2,22.681,22.674,22.668,2_2,23.488,23.485,23.4,293411,294803,297504,1583437,1585023,15728557,302595,304913,301671,1645158,1641859,1642477,306327,308535,309371,1665277,1653889,1678392,301530,301252,301212,1627570,1626551,1628782,318323,320323,321584,1690484,1677217,1688918,22,Olivia,O1,0.046,0.045,0.076,O4,0.543,0.147,0.173,NA,NA,NA,NA,0.006,0.002,0,0.022,0.021,0.019,6,4,6,0,0,0,0.654,0.659,0.647,0.561,0.575,0.573,0.583,0.635,0.586,0.633,0.618,0.608,0.571,0.597,0.581,0.596,0.581,0.573,0.572,0.564,0.536,0.574,0.571,0.572,0.452,0.502,0.499,0.507,0.485,0.519,0.552,0.576,0.57
O2F2,yes,2_2,2,2_2,15.948,15.948,15.951,2_2,16.102,16.099,16.099,2_2,16.169,16.168,16.17,2_2,16.372,16.376,16.375,2_2,16.963,16.964,16.967,298574,298315,297244,1067255,1072548,1071464,299847,300520,298608,1097088,1094441,1095501,303578,300520,300118,1100328,1099617,1101357,293394,295523,294909,1172100,1167346,1171461,321490,318803,323242,1193675,1188216,1189199,22,Darren,O1,0.112,0.115,0.162,O5,0.294,0.21,0.306,NA,NA,NA,NA,0.04,0.056,0.053,0.132,0.164,0.164,18,23,28,0,0,0,0.602,0.592,0.586,0.58,0.561,0.537,0.467,0.5,0.508,0.478,0.504,0.508,0.52,0.519,0.524,0.537,0.511,0.516,0.485,0.473,0.465,0.53,0.548,0.53,0.583,0.579,0.548,0.506,0.497,0.503,0.491,0.485,0.692
O3D2,yes,2_2,2,2_2,25.791,25.795,25.794,2_2,25.941,25.938,25.937,2_2,26.329,26.331,26.331,2_2,26.811,26.81,26.811,2_2,27.786,27.785,27.787,295589,296430,296112,1560625,1564185,1560737,303540,302480,304683,1639721,1634951,1640084,307386,305769,307232,1640839,1639495,1637706,296302,292761,295679,1668970,1673299,1669759,320103,321524,320462,1201868,1202456,1201238,15,Olivia,O1,0.185,0.186,0.236,O5,0.45,0.367,0.277,NA,NA,NA,NA,0.019,0.029,0.033,0.075,0.096,0.099,48,40,41,0,0,0,0.625,0.635,0.635,0.574,0.594,0.567,0.551,0.555,0.583,0.561,0.564,0.547,0.594,0.577,0.56,0.499,0.532,0.484,0.568,0.513,0.587,0.529,0.522,0.518,0.5,0.561,0.505,0.511,0.407,0.497,0.498,0.496,0.484
O3E2,yes,2_2,2,2_2,18.511,18.515,18.514,2_2,18.577,18.575,18.577,2_2,18.639,18.641,18.637,2_2,18.866,18.862,18.865,2_2,19.476,19.478,19.478,294751,293705,295828,1241715,1235776,1240549,302395,301901,301617,1282355,1284828,1281748,303506,304293,306620,1291513,1287149,1282734,304272,302067,305301,1311739,1309291,1307409,323701,323444,323976,1377792,1376892,1378245,14,Lauren,O1,0.278,0.298,0.307,O5,0.423,0.507,0.409,NA,NA,NA,NA,0.072,0.073,0.075,0.136,0.138,0.141,73,30,69,0,0,0,0.605,0.624,0.606,0.477,0.527,0.519,0.463,0.462,0.5,0.524,0.498,0.503,0.553,0.537,0.559,0.511,0.481,0.46,0.47,0.463,0.484,0.476,0.431,0.456,0.514,0.486,0.501,0.529,0.505,0.51,0.548,0.517,0.555
O3F2,yes,2_2,2,2_2,16.63,16.631,16.629,2_2,16.629,16.637,16.634,2_2,16.891,16.891,16.891,2_2,17.203,17.204,17.204,2_2,17.706,17.707,17.705,296687,296413,298031,1276328,1274485,1276390,299053,302142,300051,1343476,1352961,1350533,302258,301308,303642,1328755,1327404,1335730,295534,295851,296047,1353633,1351459,1352064,319498,321844,322380,1447948,1447048,1448679,NA,NA,O1,0.145,0.156,0.259,O5,0.273,0.359,0.179,NA,NA,NA,NA,0.013,0.026,0.021,0.05,0.069,0.065,NA,NA,NA,NA,NA,NA,0.628,0.628,0.619,0.515,0.515,0.576,0.514,0.526,0.528,0.53,0.526,0.523,0.549,0.547,0.565,0.338,0.336,0.295,0.455,0.471,0.446,0.513,0.516,0.488,0.492,0.446,0.447,0.511,0.423,0.433,0.514,0.446,0.5
O4D2,yes,2_2,2,2_2,14.21,14.216,14.213,2_2,14.224,14.221,14.222,2_2,14.427,14.424,14.424,2_2,14.776,14.776,14.773,2_2,15.457,15.46,15.457,298012,296906,301432,1352617,1354338,1362115,296838,301573,300457,1352817,1340506,1344826,305447,301315,303953,1338997,1339787,1333557,297152,294835,299066,1364556,1362060,1359100,323215,323690,324546,1462826,1461562,1463462,14,Lauren,D6,0.087,0.108,0.078,O5,0.346,0.329,0.313,NA,NA,NA,NA,0.071,0.077,0.081,0.128,0.14,0.142,8,10,14,0,0,0,0.639,0.636,0.628,0.537,0.552,0.533,0.515,0.512,0.521,0.577,0.56,0.557,0.532,0.549,0.539,0.517,0.519,0.502,0.533,0.506,0.507,0.484,0.499,0.507,0.526,0.489,0.52,0.559,0.516,0.492,0.495,0.51,0.493
O4D8,yes,2_2,2,NA,NA,NA,NA,2_2,19.435,19.438,19.437,2_2,19.479,19.476,19.476,2_2,19.787,19.784,19.782,2_2,20.277,20.277,20.277,NA,NA,NA,NA,NA,NA,301787,303008,299392,1281792,1280648,1282499,303801,304663,303505,1254435,1246460,1251803,292845,296287,295489,1317074,1317074,1318515,315756,319415,316623,1359127,1353922,1353408,11,Olivia,D6,0.007,0.026,0.021,O5,0.15,0.154,0.121,NA,NA,NA,NA,0.052,0.058,0.058,0.053,0.06,0.061,11,16,12,0,0,0,NA,NA,NA,NA,NA,NA,0.596,0.61,0.577,0.598,0.598,0.619,0.584,0.578,0.597,0.521,0.506,0.499,0.512,0.491,0.495,0.573,0.587,0.555,0.52,0.535,0.561,0.5,0.473,0.491,0.566,0.539,0.518
O4E2,yes,2_2,2,2_2,20.273,20.272,20.272,2_2,20.39,20.384,20.38,2_2,20.822,20.818,20.823,NA,NA,NA,NA,2_2,21.428,21.427,21.428,296638,295511,296104,1319371,1321901,1322015,297734,299321,298920,1352462,1354296,1354170,305213,302508,304487,1360877,1360973,1355064,294154,292190,294052,1390023,1389025,1384769,321826,321866,323816,984647,1038683,1003033,8,Joyce,D2,0.152,0.15,0.17,O5,0.411,0.624,0.313,NA,NA,NA,NA,0.073,0.081,0.079,0.137,0.154,0.152,81,80,70,0,0,0,0.606,0.613,0.596,0.562,0.556,0.579,0.527,0.5,0.557,0.584,0.569,0.559,0.549,0.539,0.558,0.466,0.458,0.457,0.469,0.498,0.485,0.503,0.485,0.487,0.514,0.55,0.515,0.586,0.655,0.585,0.528,0.548,0.563
O4F2,yes,2_2,2,2_2,26.303,26.311,26.297,2_2,26.45,26.448,26.447,2_2,26.822,26.824,26.824,2_2,27.332,27.328,27.329,2_2,28.203,28.202,28.204,292871,296382,296671,1563633,1560056,1566246,304157,303853,302744,1625216,1632493,1628710,305162,302588,308583,1630198,1633469,1632044,294571,293692,297182,1605825,1605681,1613339,316345,316595,320266,1625268,1640734,1646116,15,Lauren,O2,0.28,0.24,0.24,O5,0.577,0.632,0.335,NA,NA,NA,NA,0.039,0.053,0.05,0.125,0.157,0.153,60,86,59,0,0,0,0.634,0.645,0.629,0.554,0.558,0.586,0.548,0.568,0.535,0.538,0.518,0.54,0.542,0.543,0.512,0.586,0.575,0.542,0.586,0.562,0.531,0.451,0.515,0.493,0.514,0.499,0.557,0.536,0.541,0.52,0.544,0.54,0.554
I2G2,yes,2_3,2,2_3,15.255,15.251,15.251,2_3,15.261,15.259,15.259,2_3,15.437,15.44,15.44,2_3,15.568,15.568,15.566,2_3,15.897,15.895,15.896,295321,296953,294759,1293215,1285859,1289334,306564,305820,306876,1352789,1356667,1352341,311015,311071,311894,1358292,1363258,1362882,311639,313078,312428,1347535,1346372,1347482,311896,312636,315629,1415087,1411456,1410574,19,Darren,O1,0.133,0.09,0.131,O5,0.307,0.198,0.103,NA,NA,NA,NA,0.022,0.033,0.033,0.083,0.104,0.105,13,9,11,0,0,0,0.639,0.639,0.629,0.598,0.561,0.581,0.538,0.5,0.492,0.593,0.601,0.558,0.586,0.567,0.59,0.502,0.489,0.525,0.562,0.562,0.537,0.52,0.561,0.561,0.467,0.565,0.476,0.583,0.585,0.6,0.544,0.547,0.565
I2H2,yes,2_3,2,2_3,25.374,25.37,25.368,2_3,25.604,25.6,25.597,2_3,25.985,25.99,25.989,2_3,26.47,26.471,26.473,2_3,27.057,27.058,27.059,296380,296162,296121,1519539,1513494,1518772,301363,304954,305232,1567450,1568663,1567234,306470,306972,305447,1571680,1560764,1555140,NA,NA,NA,NA,NA,NA,322292,321208,321191,1653719,1652227,1660114,15,Joyce,D2,0.139,0.153,0.112,O5,0.2,0.175,0.155,NA,NA,NA,NA,0.063,0.067,0.073,0.098,0.107,0.114,84,70,55,0,0,0,0.593,0.584,0.572,0.567,0.553,0.588,0.423,0.421,0.491,0.53,0.52,0.53,0.561,0.529,0.545,0.484,0.489,0.472,0.549,0.5,0.518,0.482,0.493,0.466,0.455,0.471,0.464,0.481,0.511,0.516,0.487,0.496,0.491
