"frag","treat","sitename","reef","T2_T0_perc","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","pam","sym_cm2","chlA"
"O4H2","Low Var","BN","Outer Reef",2.44165747886807,0.265640325315476,0.109378463305422,0.16333422525464,0.519666666666667,703214.283484956,3.18062393608656
"I2A3","Mod Var","SP","Inner Reef",1.21745164891532,0.2160875406658,0.0788539025499641,0.181510310959889,0.474,313366.422184467,1.50057193173208
"I2B3","Mod Var","SP","Inner Reef",2.09284220488788,0.125934301296416,0.103500266844901,0.0547585625304466,0.604333333333333,51484.4880513772,0.498963430199571
"I2C3","Mod Var","SP","Inner Reef",-0.420968590662493,NA,NA,NA,0.488333333333333,NA,0.440564046489936
"I3A7","Mod Var","CI","Inner Reef",2.65528053906198,NA,NA,NA,NA,NA,4.08014465283106
"I3B3","Mod Var","CI","Inner Reef",2.8969650841975,0.231531915644198,0.162038451255499,0.254607959053929,0.573666666666667,2470396.80738639,3.32133705196943
"I3C3","Mod Var","CI","Inner Reef",2.13186058490242,0.23310382314517,0.158992645504639,0.305285252981089,0.613,657000.043664901,4.06144415593813
"I4A3","Mod Var","PD","Inner Reef",-1.23435712700391,0.204881977797775,0.19366765237657,0.106052083399237,0.623333333333333,484474.635526125,1.59468651083178
"I4B3","Mod Var","PD","Inner Reef",0.793761557517187,0.154760619147121,0.152723661038406,0.158962233996733,0.612666666666667,246482.7909917,0.97148940910761
"I4C3","Mod Var","PD","Inner Reef",2.61263084841826,0.152059976102951,0.0984126560619439,0.109115456382565,0.578666666666667,350656.806412836,3.55229020511653
"O2A9","Mod Var","BS","Outer Reef",-0.146327867329393,0.362154837794843,0.105735243925496,0.120626018474197,NA,547340.613197237,1.40559893151624
"O2B10","Mod Var","BS","Outer Reef",2.67380701922156,0.274017817251476,0.183569799617237,0.247999605738395,NA,224161.884173122,1.02422609052435
"O2C8","Mod Var","BS","Outer Reef",1.00456621004566,NA,NA,NA,NA,NA,NA
"O3A10","Mod Var","CA","Outer Reef",3.63898117386489,0.282050619019668,0.272281535947255,0.338165428341302,NA,929713.855985444,3.02693154669842
"O3B9","Mod Var","CA","Outer Reef",2.53276558093237,0.330683657455731,0.152800437843851,0.182509548267456,NA,1911407.36140358,5.09399922248854
"O3C10","Mod Var","CA","Outer Reef",-1.76778626463426,0.323879976220348,0.0818258994539729,0.068623251802865,NA,804098.271400977,1.60471774256211
"O4A17","Mod Var","BN","Outer Reef",1.1029411764706,0.390718227567228,0.206672099533017,0.299339026892602,NA,1474477.33025898,2.23212699807244
