date,plate,frag,blk_630_1,blk_630_2,blk_630_3,blk_663_1,blk_663_2,blk_663_3
12/8/20,O11,I2I5,0.031,0.046,0.045,0.097,0.121,0.118
12/8/20,O11,I3G5,0.03,0.051,0.056,0.09,0.109,0.12
12/8/20,O11,O3E5,0.022,0.032,0.033,0.061,0.076,0.077
12/8/20,O11,O4D4,0.013,0.018,0.019,0.048,0.058,0.058
12/8/20,O11,O4E5,0.093,0.091,0.089,0.189,0.204,0.195
12/8/20,O11,I4H5,0.037,0.055,0.058,0.107,0.133,0.138
12/8/20,O11,I4I5,0.03,0.068,0.061,0.086,0.129,0.124
12/8/20,O11,O2G13,0.01,0.013,0.013,0.042,0.05,0.05
12/8/20,O11,O3G10,0.121,0.15,0.185,0.276,0.326,0.36
12/9/20,O12,O3H5,0.037,0.059,0.066,0.087,0.119,0.128
12/9/20,O12,O3I10,0.02,0.023,0.027,0.052,0.055,0.062
12/9/20,O12,I2C6,0.03,0.034,0.035,0.092,0.102,0.104
12/9/20,O12,I2E6,0.015,0.017,0.018,0.047,0.053,0.054
12/9/20,O12,I2F6,0.039,0.044,0.042,0.112,0.126,0.119
12/9/20,O12,I2G6,0.02,0.026,0.025,0.066,0.075,0.077
12/9/20,O12,I2I6,0.005,0.007,0.004,0.023,0.026,0.025
12/9/20,O12,I3G6,0.029,0.036,0.032,0.081,0.094,0.089
12/9/20,O12,I3I6,0.16,0.173,0.19,0.444,0.464,0.51
12/9/20,O12,I4A6,0.08,0.087,0.079,0.211,0.234,0.217
12/9/20,O12,I4B6,0.086,0.091,0.096,0.242,0.257,0.266
12/9/20,O12,I4E8,0.02,0.024,0.025,0.065,0.075,0.074
12/9/20,O13,I4G6,0.059,0.066,0.063,0.16,0.18,0.177
12/9/20,O13,I4I6,0.022,0.027,0.024,0.066,0.075,0.073
12/9/20,O13,O2C6,0.046,0.056,0.055,0.127,0.145,0.143
12/9/20,O13,O2E6,0.09,0.112,0.109,0.246,0.292,0.278
12/9/20,O13,O2F6,0.073,0.081,0.082,0.222,0.243,0.244
12/9/20,O13,O2G6,0.044,0.052,0.056,0.124,0.14,0.147
12/9/20,O13,O2H6,0.086,0.108,0.107,0.231,0.273,0.271
12/9/20,O13,O2I6,0.085,0.105,0.106,0.247,0.289,0.292
12/9/20,O13,O3C6,0.062,0.071,0.073,0.183,0.202,0.21
12/9/20,O13,O3G6,0.25,0.296,0.293,0.699,0.814,0.814
12/9/20,O13,O3I6,0.23,0.274,0.285,0.668,0.78,0.792
12/9/20,O13,O4D6,0.216,0.249,0.26,0.516,0.605,0.608
12/9/20,O14,O4E6,0.124,0.15,0.149,0.357,0.419,0.416
12/9/20,O14,O4H12,0.212,0.248,0.237,0.57,0.651,0.622
12/9/20,O14,O4I6,0.177,0.2,0.202,0.501,0.558,0.558
12/9/20,O14,O4C2,0.042,0.05,0.054,0.135,0.149,0.156
