"frag","A4z_sum","A4_sum","B19_sum","B5_sum","B5a_sum","C1_sum","C3_sum","C3af_sum","C15_sum","D1_sum","timepoint","Sample_or_Control","treat","gen_site","sitename","reef","lineage","dominant_type","minor_type"
"I2A3",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I2A","SP","Inner Reef","L2","C1",NA
"I4I7",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I4I","PD","Inner Reef","L2","C1",NA
"I4D9",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I4D","PD","Inner Reef","L2","C1",NA
"I4H3",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I4H","PD","Inner Reef","L2","C1",NA
"O2C1",0,0,0,0,0,0.530703458997279,0,0,0,0.469296541002721,"pre_stress","Sample","Control","O2C","BS","Outer Reef","L1","C1","D1"
"I2G11",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I2G","SP","Inner Reef","L2","C1",NA
"I2B8",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Control","I2B","SP","Inner Reef","L2","C1",NA
"I2F1",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Control","I2F","SP","Inner Reef","L2","C1",NA
"O2A9",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","O2A","BS","Outer Reef","L1","C1",NA
"I2G5",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Control","I2G","SP","Inner Reef","L2","C1",NA
"O3G1",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Control","O3G","CA","Outer Reef","L1","C1",NA
"O3H3",0,0,0.0166770379589297,0,0,0.960858742999378,0,0,0,0.0224642190416926,"pre_stress","Sample","Mod Var","O3H","CA","Outer Reef","L1","C1","B19"
"I2E3",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Mod Var","I2E","SP","Inner Reef","L2","C1",NA
"O3G8",0,0,0,0,0,0.914137234782033,0,0,0,0.085862765217967,"pre_stress","Sample","Mod Var","O3G","CA","Outer Reef","L1","C1","D1"
"O3H1",0,0,0,0,0,0.920114942528736,0,0,0,0.0798850574712644,"pre_stress","Sample","Control","O3H","CA","Outer Reef","L1","C1","D1"
"I3F3",0,0,0,0,0,0.776879831342235,0,0,0,0.223120168657765,"pre_stress","Sample","Mod Var","I3F","CI","Inner Reef","L1","C1","D1"
"I4B1",0,0,0,0,0,0,1,0,0,0,"pre_stress","Sample","Control","I4B","PD","Inner Reef","L2","C3",NA
"I2C1",0,0,0,0,0,0,1,0,0,0,"pre_stress","Sample","Control","I2C","SP","Inner Reef","L2","C3",NA
"I2C3",0,0,0,0,0,0,1,0,0,0,"pre_stress","Sample","Mod Var","I2C","SP","Inner Reef","L2","C3",NA
"O2A11",0,0,0,0,0,0.828104249667995,0,0,0,0.171895750332005,"pre_stress","Sample","Control","O2A","BS","Outer Reef","L1","C1","D1"
"O2E3",0,0,0,0,0,0,0,1,0,0,"pre_stress","Sample","Mod Var","O2E","BS","Outer Reef","L1","C3af",NA
"O2E8",0,0,0,0,0,0,0,1,0,0,"pre_stress","Sample","Control","O2E","BS","Outer Reef","L1","C3af",NA
"I2E7",0,0,0,0,0,1,0,0,0,0,"pre_stress","Sample","Control","I2E","SP","Inner Reef","L2","C1",NA
"O3E3",0,0,0,0,0,0.923918846769888,0,0,0,0.0760811532301121,"pre_stress","Sample","Mod Var","O3E","CA","Outer Reef","L1","C1","D1"
"I3G3",0,0,0,0,0,0.767024128686327,0,0,0,0.232975871313673,"pre_stress","Sample","Mod Var","I3G","CI","Inner Reef","L2","C1","D1"
